off_id,count2,tstick1,sstick1,tstick2,sstick2,tripfreq,avedur,centdist,subcendist,eat,recrea,cult,finan,dailyser,transport,work,reside,poi_entro,metrosta4,busstop4,busroute,roadden3,junden3,oldage,highage,midage,adult,youth,juveni,female,houseprice,pop,popden
4311,269,0.137966044,0.049522993,0.382225911,2586.980506,8.933085502,0.289117573,15.51208677,9.246388493,33,23,5,1,65,6,14,5,2.287889,1,8,84,18.1472,160,0.034751199,0.080279604,0.288787007,0.407296985,0.164390996,0.0211927,0.489012986,41232,20821,83285
4312,125,0.150758724,0.059435039,0.409583932,3100.677644,8.592,0.24147181,15.99836937,9.676262159,51,197,23,7,119,26,35,3,2.248733,2,8,78,23.6142,212,0.0345953,0.082633801,0.293942004,0.416662008,0.152509004,0.018585199,0.495635986,44045,20492,81968
4313,19,0.145459442,0.078853886,0.39040124,4104.96458,7.789473684,0.307867566,16.48547265,10.11258615,17,20,4,9,50,14,31,0,2.479698,2,7,11,15.7992,208,0.033561401,0.0798219,0.290452987,0.427749008,0.146182001,0.016904499,0.498935014,46503,21330,85321
4314,152,0.147155453,0.063318646,0.393821604,3299.70059,7.960526316,0.235747258,16.97332598,10.55456052,49,11,1,3,27,11,6,2,2.218861,1,5,15,14.6072,104,0.034255199,0.084399298,0.294878006,0.427655995,0.139235005,0.016241601,0.500449002,46607,19371,77485
4333,186,0.156530061,0.086466463,0.436831123,4525.241912,7.5,0.385938396,17.12477866,2.766379249,0,1,0,0,0,0,0,0,0,0,2,7,8.17552,20,0.032437101,0.112279996,0.246334001,0.432101011,0.140874997,0.027845399,0.463539988,34391,2957,11826
4344,56,0.216302447,0.101483783,0.60384884,5302.758515,6.785714286,0.352136748,11.81554795,4.147931897,1,1,0,0,0,0,2,0,1.5,0,2,15,15.046,128,0.032852001,0.127247006,0.242148995,0.389611006,0.180871993,0.035074599,0.382281989,46576,6202,24807
4345,37,0.164680581,0.16110134,0.445439575,8388.87788,7.27027027,0.224974425,11.34190955,4.590615072,3,7,0,0,16,1,11,0,1.92003,0,4,8,4.63012,24,0.0380238,0.124826998,0.253122002,0.387699991,0.167843997,0.0319575,0.410926998,47660,7806,31222
4346,22,0.159385286,0.170925598,0.455317683,8909.568722,8.227272727,0.301725116,10.87063252,5.044021654,0,4,1,0,5,1,10,0,1.876654,0,2,4,4.97084,36,0.041342702,0.124394998,0.268451005,0.388810009,0.153213993,0.0300531,0.434350014,48659,8219,32878
4348,116,0.148453434,0.083518528,0.410290062,4373.400755,8.663793103,0.322960325,9.936504887,5.046904509,1,1,0,0,3,5,3,2,2.365596,1,6,14,19.1226,144,0.0623556,0.137807995,0.296397001,0.372307003,0.120114997,0.0259581,0.477658987,52104,11916,47663
4349,117,0.156032243,0.089831371,0.421304073,4703.678818,8.777777778,0.327028756,9.474485125,4.64077803,3,4,0,0,2,3,3,0,2.289246,1,4,9,11.7186,152,0.069087498,0.143497005,0.297237009,0.363496006,0.115594998,0.026004201,0.489977986,52801,13609,54437
4350,75,0.197746291,0.109637155,0.54424471,5722.631764,9.68,0.392456448,9.016518586,4.254691098,4,1,0,0,9,4,13,1,2.112076,0,1,10,15.0366,124,0.056433499,0.138326004,0.276466995,0.367256999,0.139143005,0.0276391,0.482569009,51190,16792,67166
4352,723,0.154617542,0.11570261,0.436454973,6042.765611,8.950207469,0.508203865,8.115484301,3.568409668,8,12,6,3,8,2,19,0,2.487613,1,5,121,25.777,248,0.054098099,0.137503996,0.265659004,0.374684006,0.144425005,0.027123399,0.479258001,50157,17273,69092
4353,1031,0.166445243,0.109122339,0.459945567,5721.753305,8.860329777,0.409094825,7.674166043,3.286201936,61,146,4,5,66,8,46,2,2.157165,0,4,63,16.697,244,0.057533398,0.135628998,0.257165998,0.381718993,0.144960001,0.026152,0.483586013,53186,18589,74357
4354,188,0.175147497,0.098772667,0.489022276,5172.058611,9.340425532,0.3904671,7.240480887,3.060179533,80,355,9,10,96,46,60,2,2.044498,1,2,11,17.1812,148,0.059366699,0.133277997,0.245969996,0.382963002,0.154690996,0.026338199,0.490402013,56559,19037,76148
4355,266,0.170130886,0.076878928,0.4706714,4027.771161,9.308270677,0.376912195,6.815886039,2.90349348,44,65,3,4,36,17,15,0,2.313609,1,3,7,19.418,204,0.057247002,0.130104005,0.234204993,0.386617988,0.164967999,0.026028199,0.494670987,59038,19431,77724
4358,559,0.158770395,0.154947139,0.441886125,8091.420461,9.046511628,0.405215429,5.617073931,2.937175721,0,4,1,0,6,6,6,2,2.382683,1,2,40,19.9798,220,0.044346601,0.122893997,0.230111003,0.401023,0.177723005,0.025211699,0.478994995,69007,21519,86075
4360,140,0.171476557,0.074070328,0.478761273,3882.730518,8.207142857,0.461363553,4.910702351,3.35531704,65,28,4,0,78,5,17,1,2.052848,1,3,19,15.6165,136,0.060141899,0.126064003,0.260977,0.381617993,0.154260993,0.025350999,0.465490013,68349,22145,88580
4364,312,0.163156457,0.130115165,0.451021273,6810.915013,9.608974359,0.391420552,3.904094473,4.745572134,15,4,1,0,22,12,8,7,2.468617,1,0,24,16.4482,200,0.079546601,0.128287002,0.272276014,0.358806998,0.131283998,0.0239859,0.499550998,73935,25129,100515
4365,642,0.158651152,0.100205957,0.433067547,5260.043109,9.612149533,0.447352805,3.778054085,5.156164319,41,52,18,6,96,28,48,4,2.565296,0,3,30,17.6386,172,0.085537702,0.131734997,0.271714002,0.36185199,0.123255998,0.023357101,0.503993988,72711,26232,104928
4366,634,0.126969123,0.151069223,0.343304501,7856.208236,11.44006309,0.300000739,3.715566133,5.581362387,38,10,30,5,69,36,135,3,2.326014,0,1,12,9.11452,96,0.096117198,0.139928997,0.268341988,0.346756011,0.12393,0.0238906,0.506882012,81738,27114,108456
4367,981,0.158318857,0.082397624,0.431215414,4306.478841,9.18756371,0.351294904,3.719834768,6.018071261,24,24,7,1,23,4,29,4,2.54586,1,2,24,15.5963,152,0.101447999,0.145345002,0.269405991,0.340016991,0.120017998,0.025042601,0.509525001,89209,26413,105653
4368,190,0.169812286,0.099172369,0.456693304,5171.638262,9.184210526,0.381003814,3.790634475,6.463958332,29,61,14,7,88,7,31,5,2.424895,1,2,8,13.0965,164,0.101653002,0.149444997,0.275554001,0.336822003,0.116168998,0.025463101,0.514276981,93052,26784,107136
4369,442,0.147970652,0.130230523,0.403235787,6807.176291,10.62895928,0.315912282,3.92436603,6.917248942,52,50,14,6,90,19,18,5,2.490383,1,1,21,17.2202,124,0.100399002,0.154521003,0.279578,0.335990012,0.109154001,0.0259363,0.517343998,92823,25374,101497
4370,129,0.162926153,0.077703348,0.447474575,4061.706849,8.852713178,0.460801196,4.114898268,7.376578376,29,29,8,1,43,13,28,0,2.458629,1,0,8,11.4436,104,0.099081099,0.154930994,0.274013996,0.336225986,0.113073997,0.026865199,0.512035012,94095,26276,105104
4371,224,0.197673957,0.073900948,0.545561818,3877.996526,7.65625,0.440181312,4.354782058,7.840885418,5,34,4,0,7,1,4,3,1.978847,1,2,22,15.6197,152,0.101974003,0.158290997,0.270677,0.331784993,0.112233996,0.0277943,0.510908008,95907,24966,99865
4373,350,0.172052059,0.101325901,0.460359211,5315.944012,7.922857143,0.293925705,3.772823525,8.761607187,6,21,11,1,9,2,11,2,2.542593,1,3,36,18.7688,188,0.111414999,0.169589996,0.264456004,0.316772014,0.118509002,0.027266299,0.506358027,92695,21862,87447
4374,12,0.158849248,0.117533381,0.422288737,6175.986805,8.25,0.456929336,3.486616972,8.821613151,8,11,2,0,20,16,8,2,2.476652,1,1,0,9.87224,116,0.098903202,0.157822996,0.25246799,0.343519986,0.128005996,0.025875101,0.497002006,86926,20758,83030
4377,210,0.175585702,0.07022178,0.493418094,3688.909184,8.604761905,0.405482411,2.987205983,9.164395935,1,17,4,0,0,1,13,4,1.982113,1,2,20,14.3096,140,0.102338001,0.155915007,0.264245987,0.342608988,0.107738003,0.024914401,0.504508972,77451,23028,92110
4379,160,0.147905101,0.081240293,0.421101299,4273.090721,9.51875,0.282902875,3.044339124,9.518211441,8,4,7,0,16,2,18,0,2.286119,0,2,14,10.8556,48,0.108810998,0.163066998,0.260392994,0.330976009,0.119019002,0.022382701,0.492850989,77192,28702,114808
4380,45,0.157386221,0.081416135,0.449103924,4281.02233,8.511111111,0.39907354,3.192225126,9.084724987,1,2,0,0,0,0,2,0,1.521928,0,3,8,8.5988,92,0.104840003,0.164652005,0.28538999,0.330700994,0.106555,0.0214456,0.499469012,79133,28642,114568
4381,267,0.143589481,0.107768768,0.408916899,5615.057611,10.04494382,0.423927446,3.407726781,8.612765321,4,19,8,5,12,10,27,2,2.635855,0,2,16,15.5648,108,0.106896996,0.180426002,0.30775699,0.306915998,0.088329501,0.020200999,0.497245014,76810,31923,127690
4382,80,0.161436361,0.067939418,0.451292584,3550.915097,6.7125,0.382684227,3.678981159,8.144152801,31,26,15,7,63,24,13,5,2.636434,1,1,1,8.05924,80,0.094144799,0.142153993,0.274897009,0.363655001,0.115833998,0.019643299,0.51128,70439,31957,127827
4383,120,0.158599393,0.067442123,0.447716265,3529.805329,8.425,0.407408791,3.994646784,7.679500194,56,33,9,4,79,24,13,3,2.412806,2,3,5,11.7452,128,0.091548197,0.127389997,0.255356997,0.383888006,0.125679001,0.0194185,0.520316005,61993,34683,138731
4384,763,0.149717367,0.139568888,0.416435499,7315.053688,9.347313237,0.391747843,3.988186385,7.219572121,39,134,14,6,86,36,27,6,2.402595,2,4,36,18.7809,200,0.079894498,0.120918997,0.234849006,0.401820004,0.139869004,0.0194817,0.516864002,57686,34516,138064
4385,284,0.143460501,0.053116967,0.40342323,2793.294738,9.841549296,0.510564485,3.705214829,6.765332216,42,498,16,10,105,43,145,2,1.887604,4,2,10,14.3507,144,0.074386202,0.117576003,0.224465996,0.420084,0.139996007,0.018889001,0.51831001,59882,31561,126245
4386,810,0.163771341,0.085244927,0.456205669,4466.949769,8.634567901,0.392234803,3.471541906,6.318007468,144,48,5,6,125,34,25,2,2.207934,2,2,26,17.5264,160,0.074697003,0.113571003,0.228853002,0.41207999,0.154768005,0.0189735,0.515510023,63198,31881,127522
4387,535,0.133550157,0.079995171,0.376818239,4204.928163,9.33271028,0.426930191,3.297664247,5.879176537,74,34,55,3,61,21,22,3,2.557887,2,3,6,14.5868,124,0.077014498,0.111031003,0.227593005,0.399668008,0.163714007,0.0193354,0.511188984,65765,31195,124779
4390,559,0.139778781,0.058144241,0.384091069,3036.233818,9.692307692,0.305383891,3.21613873,4.637586861,5,9,1,0,12,8,6,1,2.471644,2,2,23,11.4728,72,0.039462101,0.101994,0.197329998,0.367062986,0.218574002,0.025868701,0.466331005,63491,19913,79654
4396,82,0.183137598,0.078228179,0.495537918,4073.939583,9.756097561,0.296003551,4.772993402,2.981979573,0,7,2,1,2,2,5,0,2.286816,0,2,2,7.8584,56,0.0147136,0.103294998,0.242676005,0.437554985,0.181886002,0.029324999,0.390554011,50948,11744,46976
4398,174,0.179666124,0.087359828,0.483303626,4547.751461,10.55747126,0.396078093,5.561244337,2.947405458,3,12,0,0,19,0,18,0,1.66808,0,2,2,15.8154,148,0.015795,0.101708002,0.218531996,0.433692992,0.204908997,0.030318299,0.378847003,47415,6627,26510
4403,106,0.143635706,0.07042892,0.40105424,3680.299532,8.745283019,0.42681626,7.74870118,4.113962911,1,5,0,1,10,0,1,0,1.679429,0,1,7,11.2534,64,0.0173914,0.087969303,0.168060005,0.35768801,0.237032995,0.104089998,0.312896013,45457,4992,19967
4408,55,0.155548216,0.043360315,0.432656285,2266.491382,10.14545455,0.455043803,10.08252455,4.943426105,6,3,1,0,10,0,12,2,2.190301,0,3,5,10.7903,92,0.0324164,0.118377998,0.269156009,0.410544008,0.156825006,0.0270644,0.391054004,46113,7358,29431
